X,Y,Z
30.841088,3037,16.01555878
30.841088,3037.5,18.03825835
30.841088,3038,17.91950306
30.841088,3038.5,14.50388329
30.841088,3039,13.29089745
30.841088,3039.5,13.87152716
30.841088,3040,13.53571122
30.841088,3040.5,14.40665135
30.841088,3041,16.05713176
30.841088,3041.5,15.69088984
30.841088,3042,16.37700914
30.841088,3042.5,20.74744836
30.841088,3043,21.49908864
30.841088,3043.5,17.1767471
30.841088,3044,14.56092568
30.841088,3044.5,14.26116489
30.841088,3045,12.97707921
30.841088,3045.5,11.02304584
30.841088,3046,11.0132154
30.841088,3046.5,14.55912903
30.841088,3047,17.48868825
30.841088,3047.5,15.30235365
30.841088,3048,10.46137057
30.841088,3048.5,6.125547945
30.841088,3049,3.628596579
30.841088,3049.5,4.035718495
30.841088,3050,6.086473427
30.841088,3050.5,5.326574219
30.841088,3051,4.849992541
30.841088,3051.5,8.249336483
30.841088,3052,12.05932791
30.841088,3052.5,14.14101072
30.841088,3053,17.29936502
30.841088,3053.5,20.58564768
30.841088,3054,21.28595916
30.841088,3054.5,19.15701617
30.841088,3055,18.0598288
30.841088,3055.5,17.12233202
30.841088,3056,14.33237737
30.841088,3056.5,12.05774079
30.841088,3057,12.57782658
30.841088,3057.5,13.9482152
30.841088,3058,15.19005862
30.841088,3058.5,15.00831986
30.841088,3059,14.43573484
30.841088,3059.5,14.88346149
30.841088,3060,17.78804101
30.841088,3060.5,20.93379936
30.841088,3061,20.63365103
30.841088,3061.5,21.60977847
30.841088,3062,23.202138
30.841088,3062.5,20.74878445
30.841088,3063,14.68443604
30.841088,3063.5,9.600797102
30.841088,3064,11.53493073
30.841088,3064.5,17.33395314
30.841088,3065,21.93850884
30.841088,3065.5,25.99174054
30.841088,3066,25.88973841
30.841088,3066.5,19.23570384
30.841088,3067,12.59872971
30.841088,3067.5,11.36206709
30.841088,3068,13.36287427
30.841088,3068.5,15.53802711
30.841088,3069,16.35136588
30.841088,3069.5,19.00188056
30.841088,3070,14.90862422
30.841088,3070.5,8.537390415
30.841088,3071,9.910164096
30.841088,3071.5,15.82807011
30.841088,3072,17.15037558
30.841088,3072.5,15.51889551
30.841088,3073,16.00670316
30.841088,3073.5,17.69568463
30.841088,3074,18.17015936
30.841088,3074.5,16.52654648
30.841088,3075,17.66685385
30.841088,3075.5,23.43014766
30.841088,3076,25.29259982
30.841088,3076.5,20.81600504
30.841088,3077,17.66957948
30.841088,3077.5,16.27537442
30.841088,3078,14.41162809
30.841088,3078.5,13.68224139
30.841088,3079,14.89488809
30.841088,3079.5,15.79863642
30.841088,3080,15.96686148
30.841088,3080.5,16.62749621
30.841088,3081,17.44784559
30.841088,3081.5,14.29697862
30.841088,3082,9.587442051
30.841088,3082.5,7.805349773
30.841088,3083,11.33584721
30.841088,3083.5,15.89168144
30.841088,3084,15.21371613
30.841088,3084.5,14.03473909
30.841088,3085,16.03816882
30.841088,3085.5,13.53046143
30.841088,3086,11.29341938
30.841088,3086.5,12.08687634
30.841088,3087,14.10473125
30.841088,3087.5,14.12284705
30.841088,3088,13.92992929
30.841088,3088.5,14.62284182
30.841088,3089,13.06405266
30.841088,3089.5,12.7852424
30.841088,3090,14.06815437
30.841088,3090.5,15.01556241
30.841088,3091,13.23534986
30.841088,3091.5,13.05936561
30.841088,3092,14.50043775
30.841088,3092.5,13.93889754
30.841088,3093,12.68012728
30.841088,3093.5,12.75551078
30.841088,3094,15.25324166
30.841088,3094.5,19.50210418
30.841088,3095,21.06957371
30.841088,3095.5,17.18623265
30.841088,3096,11.38456015
30.841088,3096.5,10.43803384
30.841088,3097,14.74920811
30.841088,3097.5,14.37570898
30.841088,3098,9.906779391
30.841088,3098.5,9.330711352
30.841088,3099,10.34982227
30.841088,3099.5,11.1943615
30.841088,3100,10.07169309
30.841088,3100.5,9.830709033
30.841088,3101,12.70975287
30.841088,3101.5,13.58393697
30.841088,3102,11.95819615
30.841088,3102.5,12.28785802
30.841088,3103,14.12839783
30.841088,3103.5,14.18319866
30.841088,3104,14.77168768
30.841088,3104.5,14.73503365
30.841088,3105,10.29752968
30.841088,3105.5,6.112182074
30.841088,3106,8.537154832
30.841088,3106.5,17.86315041
30.841088,3107,21.27679416
30.841088,3107.5,17.0431417
30.841088,3108,12.75579467
30.841088,3108.5,10.59128898
30.841088,3109,10.33070507
30.841088,3109.5,11.55582111
30.841088,3110,13.12783196
30.841088,3110.5,14.67456556
30.841088,3111,16.21796019
30.841088,3111.5,13.73349954
30.841088,3112,9.645684144
30.841088,3112.5,8.297384881
30.841088,3113,8.559828208
30.841088,3113.5,9.896877988
30.841088,3114,13.95174623
30.841088,3114.5,15.08698436
30.841088,3115,12.03451273
30.841088,3115.5,11.10434973
30.841088,3116,12.99702619
30.841088,3116.5,12.78178069
30.841088,3117,10.28930415
30.841088,3117.5,9.928504551
30.841088,3118,10.7460683
30.841088,3118.5,11.18016301
30.841088,3119,10.83270439
30.841088,3119.5,12.01363781
30.841088,3120,12.86145472
30.841088,3120.5,10.61957383
30.841088,3121,7.462740551
30.841088,3121.5,5.704955657
30.841088,3122,7.864079885
30.841088,3122.5,10.03948229
30.841088,3123,9.908037153
30.841088,3123.5,11.79216704
30.841088,3124,16.03262163
30.841088,3124.5,18.20016343
30.841088,3125,15.25351218
30.841088,3125.5,13.20385153
30.841088,3126,16.91309697
30.841088,3126.5,23.30942511
30.841088,3127,24.46281173
30.841088,3127.5,21.6208873
30.841088,3128,17.08224821
30.841088,3128.5,17.23119518
30.841088,3129,21.30389078
30.841088,3129.5,19.83413977
30.841088,3130,17.15269315
30.841088,3130.5,15.02164493
30.841088,3131,12.82192467
30.841088,3131.5,12.01717202
30.841088,3132,12.4707052
30.841088,3132.5,16.40712529
30.841088,3133,24.07582116
30.841088,3133.5,26.91001099
30.841088,3134,19.0020328
30.841088,3134.5,13.92620198
30.841088,3135,14.09748056
30.841088,3135.5,18.70865599
30.841088,3136,22.13244016
30.841088,3136.5,21.37132069
30.841088,3137,20.34113404
30.841088,3137.5,17.35268035
30.841088,3138,14.25941905
30.841088,3138.5,13.8719356
30.841088,3139,17.10522974
30.841088,3139.5,20.22526016
